	DBS7_GRCh37	DBS7_GRCh38	DBS7_mm9	DBS7_mm10	DBS7_rn6
AC>CA	0.0458801320676095	0.0459320112885566	0.0500850051830904	0.050084885281999	0.0512121559174399
AC>CG	0.00624729467151545	0.00625435883558777	0.00681985364693496	0.00681983732053362	0.00697333277742918
AC>CT	0.0135941132052176	0.013609484826239	0.0148400015357305	0.0148399660094811	0.0151739721236859
AC>GA	0.00972578834461525	0.00973678583524305	0.0106171481575484	0.0106171227406067	0.0108560844679017
AC>GG	0.00253890055450388	0.00254177143078287	0.00277158852211437	0.00277158188706487	0.00283396244074722
AC>GT	0.00449805216349112	0.00450313836162319	0.00491029462579317	0.0049102828707842	0.00502079959974901
AC>TA	0.0054176539391382	0.00542377998222172	0.005914177082622	0.00591416292436676	0.00604727418458659
AC>TG	0.000997568013147587	0.000998696018866657	0.00108899423034258	0.00108899162334281	0.00111350177789989
AC>TT	0.00117948923398212	0.00118082294815897	0.00128758836854132	0.00128758528611675	0.00131656522837863
AT>CA	0.0110951953366114	0.0110505063255381	0.0108955305613972	0.0108953781875669	0.0108137198245058
AT>CC	0.00625729034298987	0.00623208735115937	0.00614468660489609	0.00614460067154673	0.00609854829742398
AT>CG	0.00110951953366114	0.00110505063255381	0.00108955305613972	0.00108953781875669	0.00108137198245058
AT>GA	0.0143937669231716	0.0143357919898874	0.0141347423499207	0.0141345446757625	0.0140286095020616
AT>GC	0.00928597879974056	0.00924857691569817	0.00911887197435858	0.00911874444707175	0.00905040154681611
AT>TA	0.033985283013044	0.0338483977539007	0.0333736972150906	0.0333732304844391	0.0331231057687564
CC>AA	9.03608701287993e-18	8.95465754871779e-18	9.37331884463094e-18	9.37324442865412e-18	9.4723898549218e-18
CC>AG	8.29640732377251e-05	8.22164354583603e-05	8.60603389495982e-05	8.60596557055634e-05	8.69699511016051e-05
CC>AT	0.000851631209620986	0.000843956662777386	0.000883414563675394	0.000883407550134218	0.000892751787211658
CC>GA	0.000301869278527626	0.000299148957932828	0.000313135209190104	0.00031313272316964	0.000316444882321503
CC>GG	0.00204911265225707	0.00203064689987517	0.00212558668489972	0.00212556980959524	0.00214805300913604
CC>GT	0.000162929445033123	0.000161461192526659	0.000169010063238368	0.000169008721445866	0.000170796409994719
CC>TA	9.03608701287993e-18	8.95465754871779e-18	9.37331884463094e-18	9.37324442865412e-18	9.4723898549218e-18
CC>TG	0.000235897846796423	0.000233772033351482	0.000244701686651869	0.000244699743933891	0.000247288053734684
CC>TT	9.03608701287993e-18	8.95465754871779e-18	9.37331884463094e-18	9.37324442865412e-18	9.4723898549218e-18
CG>AT	6.20731198561775e-05	6.2954837882978e-05	5.41279858702086e-05	5.41235818755068e-05	6.44590680225012e-05
CG>GC	0.000186919056571742	0.000189574149502687	0.000162994095937665	0.000162980834311107	0.000194103795816549
CG>GT	2.06910399520592e-05	2.09849459609927e-05	1.80426619567362e-05	1.80411939585023e-05	2.14863560075004e-05
CG>TA	9.03608701287993e-18	9.16444016847213e-18	7.87950068062294e-18	7.87885958380967e-18	9.38341344482143e-18
CG>TC	4.86789200804484e-05	4.93703801111276e-05	4.24481950383117e-05	4.24447413419836e-05	5.05500259693367e-05
CG>TT	3.12864517149494e-05	3.17308603178295e-05	2.72818994804755e-05	2.72796797536774e-05	3.24890310644813e-05
CT>AA	9.03608701287993e-18	9.036966293971e-18	9.79798171680179e-18	9.79788871975156e-18	9.77259593283436e-18
CT>AC	1.0095628189169e-17	1.00966105718039e-17	1.0946860103949e-17	1.09467562023773e-17	1.09184976683216e-17
CT>AG	0.00125945460577751	0.00125957716044286	0.001365647894156	0.00136563493217776	0.00136210961010744
CT>GA	0.00186919056571742	0.00186937245240329	0.00202679489053312	0.00202677565331144	0.00202154362769914
CT>GC	0.0155932475001026	0.0155947648435783	0.0169080215466934	0.0169078610650581	0.0168642142203779
CT>GG	0.00399826858976989	0.00399865765219956	0.0043353901401778	0.00433534899104052	0.00432415749240459
CT>TA	9.03608701287993e-18	9.036966293971e-18	9.79798171680179e-18	9.79788871975156e-18	9.77259593283436e-18
CT>TC	0.0631726437183642	0.063178790904753	0.0684991642148091	0.0684985140584402	0.0683216883799925
