	DBS1_GRCh37	DBS1_GRCh38	DBS1_mm9	DBS1_mm10	DBS1_rn6
AC>CA	4.97126349633023e-05	5.01701937314426e-05	5.22346131803265e-05	5.22348709862679e-05	5.28616004341466e-05
AC>CG	2.64067115298024e-05	2.66497608553337e-05	2.77463538825074e-05	2.77464908257036e-05	2.80794014378565e-05
AC>CT	0.00429109062359289	0.00433058613899172	0.00450878250590746	0.00450880475917684	0.00456290273365169
AC>GA	0.000127032286525943	0.00012820150108437	0.00013347677814691	0.00013347743692668	0.000135078938735143
AC>GG	5.71145162254439e-05	5.76402024560437e-05	6.00120002534536e-05	6.00122964449878e-05	6.07323417462731e-05
AC>GT	0.00296075250485663	0.00298800348984044	0.00311095482925083	0.00311097018348798	0.00314829652485058
AC>TA	0.00120030506953647	0.00121135276615153	0.00126119790375033	0.00126120412844107	0.00127633642899348
AC>TG	0.000172043726633561	0.000173627229815052	0.000180771699537548	0.00018077259174322	0.000182941554822399
AC>TT	0.0265067369522638	0.0267507069191796	0.02785145370782	0.0278515911697404	0.0281857628069393
AT>CA	0.000482122536263817	0.000484052925155735	0.00045570038901867	0.000455697356068481	0.000447633641416211
AT>CC	0.000297075504710277	0.000298264976703845	0.000280794638046774	0.000280792769195723	0.000275824048756461
AT>CG	3.98101181396264e-06	3.99695153966769e-06	3.76283723712512e-06	3.76281219326256e-06	3.69622799343676e-06
AT>GA	0.0021205389561811	0.00212902946334057	0.00200432536248875	0.00200431202254186	0.00196884506183063
AT>GC	0.000174044235082789	0.000174741097462859	0.000164505949562757	0.000164504854680323	0.000161593887150251
AT>TA	0.00234059488559612	0.0023499664831212	0.00221232139067155	0.00221230666639055	0.0021731591720206
CC>AA	1.06026947809055e-05	1.05918794343151e-05	1.05861436224853e-05	1.05861371683443e-05	1.05881611899156e-05
CC>AG	1.23031269627489e-05	1.22905770794412e-05	1.22839213732614e-05	1.22839138840223e-05	1.22862625128267e-05
CC>AT	0.0187047540002767	0.0186856740963861	0.0186755552585355	0.0186755438724565	0.0186791145520209
CC>GA	0.00013403406609824	0.000133897343792286	0.000133824834472929	0.000133824752882844	0.000133850339570632
CC>GG	9.82249648570681e-05	9.81247698537496e-05	9.80716324271757e-05	9.80715726350392e-05	9.8090323476388e-05
CC>GT	0.006921759234327	0.00691469864957177	0.00691095413845271	0.00691094992499462	0.00691227126737887
CC>TA	0.0104026439359828	0.0103920326525356	0.0103864050635706	0.0103863987312058	0.0103883845636908
CC>TG	0.00255064827276501	0.00254804646768902	0.00254666662616393	0.00254666507351681	0.0025471519843665
CC>TT	0.858218124718579	0.857342693834187	0.85687841774457	0.856877895324478	0.857041726504491
CG>AT	6.03153297442078e-07	6.16653830871348e-07	5.0623775986556e-07	5.06200281207227e-07	5.96668731778148e-07
CG>GC	5.42137789740641e-06	5.54272597565955e-06	4.55026311520952e-06	4.54992624236016e-06	5.36309208331271e-06
CG>GT	1.70043218184334e-06	1.73849338719949e-06	1.42720429812845e-06	1.42709863690263e-06	1.68215065343757e-06
CG>TA	0.000356090503962487	0.000364060968142951	0.000298873370666898	0.000298851243963139	0.000352262136837513
CG>TC	1.2603203230133e-05	1.28853039286551e-05	1.0578102444952e-05	1.05773193088078e-05	1.24677048431255e-05
CG>TT	0.000124031523852102	0.000126807752948668	0.000104101960569369	0.00010409425351525	0.000122698047662504
CT>AA	2.77070420218003e-05	2.7933194990298e-05	2.89171121930797e-05	2.89170496739541e-05	2.85459714035031e-05
CT>AC	0.000419106520113152	0.000422527389925446	0.000437410469635392	0.00043740952394898	0.000431796462746129
CT>AG	2.85072454014913e-18	2.8739929863664e-18	2.97522634477534e-18	2.97521991230214e-18	2.93704037906079e-18
CT>GA	8.92226768355445e-05	8.99509383803096e-05	9.31193648961264e-05	9.31191635710001e-05	9.19242111621831e-05
CT>GC	0.000252064064602659	0.000254121485110291	0.00026307264522224	0.000263072076456188	0.000259696201938006
CT>GG	1.08027456258283e-05	1.08909207904411e-05	1.12745419380961e-05	1.12745175624081e-05	1.11298372259146e-05
CT>TA	0.00781198549423322	0.00787574920123564	0.00815316412375278	0.00815314649651919	0.00804852117911043
CT>TC	0.0105026693584441	0.0105883952129288	0.0109613602175933	0.0109613365190078	0.0108206750807502
CT>TG	0.00224056946313475	0.00225885764542482	0.00233842351308658	0.00233841845738834	0.00230841068389339
GC>AA	0.00158040167488969	0.00158449926475142	0.00150497992834411	0.0015049404004636	0.00149659933088636
GC>AG	0.000107027202033669	0.000107304697043293	0.000101919526792924	0.000101916849904814	0.000101351980003064
GC>AT	4.87123807386885e-05	4.88386798692369e-05	4.63876724749102e-05	4.63864541155552e-05	4.61293591228897e-05
GC>CA	5.76146433377507e-05	5.77640238289127e-05	5.48650910586208e-05	5.48636500422173e-05	5.45595705437053e-05
GC>CG	5.1513092567607e-06	5.16466532498091e-06	4.90547255124821e-06	4.90534371037186e-06	4.87815604687643e-06
GC>TA	8.27210243755553e-07	8.29354994904702e-07	7.87733165025684e-07	7.8771247543253e-07	7.8334661179938e-07
TA>AT	0.000505128383429933	0.000504971228544323	0.000485946755862524	0.000485929626879327	0.000476744660112866
