rank,signature,sig_type,avg_movement_toward_p2,std,n_pairs,beats_null_model
1,SBS-MS (SBS105_PROFILE),SBS,0.005752,0.004741,2,YES
2,SBS-MS (SBS10c_PROFILE),SBS,0.005725,0.005829,2,YES
3,SBS-MS (SBS94_PROFILE),SBS,0.004197,0.003295,2,YES
4,SBS-MS (SBS24_PROFILE),SBS,0.003609,0.000310,2,YES
5,Mismatch (SBS26_PROFILE),SBS,0.003578,0.004063,2,YES
6,Chemotherapy (SBS25_PROFILE),SBS,0.003363,0.002371,2,YES
7,SBS-MS (SBS39_PROFILE),SBS,0.002940,0.002278,2,YES
8,UV (SBS38_PROFILE),SBS,0.002909,0.002420,2,YES
9,Chemotherapy (SBS35_PROFILE),SBS,0.002873,0.001602,2,YES
10,SBS-MS (SBS90_PROFILE),SBS,0.002840,0.003591,2,YES
11,SBS-MS (SBS22b_PROFILE),SBS,0.002771,0.000550,2,YES
12,SBS-MS (SBS12_PROFILE),SBS,0.002662,0.004715,2,YES
13,Mismatch (v3.3_DBS10_PROFILE),DBS,0.002544,0.004929,2,YES
14,SBS-MS (SBS36_PROFILE),SBS,0.002440,0.000475,2,YES
15,SBS-MS (SBS22a_PROFILE),SBS,0.002432,0.001396,2,YES
16,Mismatch (SBS6_PROFILE),SBS,0.002378,0.000447,2,YES
17,SBS-MS (SBS10b_PROFILE),SBS,0.002293,0.000574,2,YES
18,SBS-MS (SBS17a_PROFILE),SBS,0.002212,0.003818,2,YES
19,SBS-MS (SBS85_PROFILE),SBS,0.002065,0.002939,2,YES
20,SBS-MS (SBS33_PROFILE),SBS,0.002048,0.005372,2,YES
21,SBS-MS (SBS108_PROFILE),SBS,0.002037,0.001478,2,YES
22,SBS-MS (SBS17b_PROFILE),SBS,0.001991,0.007441,2,YES
23,SBS-MS (SBS88_PROFILE),SBS,0.001905,0.004419,2,YES
24,Mismatch (SBS20_PROFILE),SBS,0.001800,0.001491,2,YES
25,Mismatch (v3.3_DBS7_PROFILE),DBS,0.001303,0.005139,2,YES
26,~~NULL (uniform random),NULL,0.001148,0.001058,2,NO
27,SBS-MS (SBS107_PROFILE),SBS,0.000821,0.002156,2,NO
28,Mismatch (SBS15_PROFILE),SBS,0.000772,0.001439,2,NO
29,Chemotherapy (SBS86_PROFILE),SBS,0.000762,0.003833,2,NO
30,Mismatch (SBS14_PROFILE),SBS,0.000660,0.001760,2,NO
31,Tobacco (SBS100_PROFILE),SBS,0.000498,0.005978,2,NO
32,SBS-MS (SBS13_PROFILE),SBS,0.000415,0.002493,2,NO
33,SBS-MS (SBS11_PROFILE),SBS,0.000302,0.001806,2,NO
34,SBS-MS (SBS28_PROFILE),SBS,0.000251,0.004760,2,NO
35,Mismatch (SBS21_PROFILE),SBS,0.000212,0.006766,2,NO
36,SBS-MS (SBS34_PROFILE),SBS,0.000064,0.000620,2,NO
37,SBS-MS (SBS18_PROFILE),SBS,-0.000262,0.005755,2,NO
38,SBS-MS (SBS16_PROFILE),SBS,-0.000335,0.000657,2,NO
39,SBS-MS (SBS101_PROFILE),SBS,-0.000373,0.006574,2,NO
40,SBS-MS (SBS30_PROFILE),SBS,-0.000463,0.005175,2,NO
41,SBS-MS (SBS99_PROFILE),SBS,-0.001212,0.007241,2,NO
42,SBS-MS (SBS91_PROFILE),SBS,-0.001618,0.005078,2,NO
43,SBS-MS (SBS40a_PROFILE),SBS,-0.001847,0.004023,2,NO
44,Clock-like (SBS1_PROFILE),SBS,-0.002260,0.001979,2,NO
45,SBS-MS (SBS42_PROFILE),SBS,-0.002613,0.004826,2,NO
46,SBS-MS (SBS96_PROFILE),SBS,-0.002868,0.010268,2,NO
47,SBS-MS (SBS41_PROFILE),SBS,-0.002931,0.002393,2,NO
48,SBS-MS (SBS110_PROFILE),SBS,-0.003121,0.004530,2,NO
49,Tobacco (v3.3_DBS2_PROFILE),DBS,-0.003597,0.008424,2,NO
50,SBS-MS (SBS84_PROFILE),SBS,-0.003665,0.006494,2,NO
51,SBS-MS (SBS9_PROFILE),SBS,-0.003872,0.007997,2,NO
52,UV (SBS7a_PROFILE),SBS,-0.004588,0.005367,2,NO
53,SBS-MS (SBS40b_PROFILE),SBS,-0.004631,0.003625,2,NO
54,SBS-MS (SBS23_PROFILE),SBS,-0.006964,0.008245,2,NO
