signature,PAIR4-ABC,PAIR5-HR,avg_across_pairs
Chemotherapy (SBS25_PROFILE),0.000992,0.005733,0.003363
Chemotherapy (SBS31_PROFILE),-0.021278,-0.011783,-0.016531
Chemotherapy (SBS35_PROFILE),0.001272,0.004475,0.002873
Chemotherapy (SBS86_PROFILE),-0.003071,0.004595,0.000762
Chemotherapy (SBS87_PROFILE),-0.003886,-0.059722,-0.031804
Chemotherapy (v3.3_DBS5_PROFILE),0.001633,-0.074645,-0.036506
Clock-like (SBS1_PROFILE),-0.000281,-0.004240,-0.002260
Clock-like (SBS5_PROFILE),-0.012073,-0.002846,-0.007459
Mismatch (SBS14_PROFILE),-0.001100,0.002421,0.000660
Mismatch (SBS15_PROFILE),-0.000666,0.002211,0.000772
Mismatch (SBS20_PROFILE),0.000309,0.003292,0.001800
Mismatch (SBS21_PROFILE),-0.006554,0.006978,0.000212
Mismatch (SBS26_PROFILE),-0.000485,0.007641,0.003578
Mismatch (SBS44_PROFILE),0.002232,-0.016772,-0.007270
Mismatch (SBS6_PROFILE),0.001931,0.002824,0.002378
Mismatch (v3.3_DBS10_PROFILE),0.007473,-0.002385,0.002544
Mismatch (v3.3_DBS7_PROFILE),-0.003836,0.006442,0.001303
Mismatch (v3.3_ID7_PROFILE),-0.077711,-0.035358,-0.056535
SBS-MS (SBS101_PROFILE),-0.006947,0.006201,-0.000373
SBS-MS (SBS102_PROFILE),-0.007344,-0.011324,-0.009334
SBS-MS (SBS103_PROFILE),-0.023969,-0.068496,-0.046233
SBS-MS (SBS104_PROFILE),-0.000008,-0.033296,-0.016652
SBS-MS (SBS105_PROFILE),0.001011,0.010493,0.005752
SBS-MS (SBS106_PROFILE),-0.000422,-0.023204,-0.011813
SBS-MS (SBS107_PROFILE),0.002977,-0.001336,0.000821
SBS-MS (SBS108_PROFILE),0.000559,0.003515,0.002037
SBS-MS (SBS10a_PROFILE),0.000872,-0.068496,-0.033812
SBS-MS (SBS10b_PROFILE),0.001719,0.002867,0.002293
SBS-MS (SBS10c_PROFILE),-0.000105,0.011554,0.005725
SBS-MS (SBS10d_PROFILE),0.000170,-0.069319,-0.034575
SBS-MS (SBS110_PROFILE),-0.007651,0.001409,-0.003121
SBS-MS (SBS11_PROFILE),0.002108,-0.001504,0.000302
SBS-MS (SBS12_PROFILE),-0.002053,0.007377,0.002662
SBS-MS (SBS13_PROFILE),-0.002078,0.002908,0.000415
SBS-MS (SBS16_PROFILE),-0.000993,0.000322,-0.000335
SBS-MS (SBS17a_PROFILE),-0.001606,0.006030,0.002212
SBS-MS (SBS17b_PROFILE),-0.005450,0.009432,0.001991
SBS-MS (SBS18_PROFILE),-0.006017,0.005492,-0.000262
SBS-MS (SBS19_PROFILE),-0.012048,-0.044115,-0.028082
SBS-MS (SBS22a_PROFILE),0.001036,0.003827,0.002432
SBS-MS (SBS22b_PROFILE),0.002221,0.003321,0.002771
SBS-MS (SBS23_PROFILE),-0.015209,0.001282,-0.006964
SBS-MS (SBS24_PROFILE),0.003299,0.003919,0.003609
SBS-MS (SBS28_PROFILE),-0.004509,0.005011,0.000251
SBS-MS (SBS2_PROFILE),-0.011304,-0.086646,-0.048975
SBS-MS (SBS30_PROFILE),-0.005639,0.004712,-0.000463
SBS-MS (SBS32_PROFILE),-0.010093,-0.005829,-0.007961
SBS-MS (SBS33_PROFILE),-0.003323,0.007420,0.002048
SBS-MS (SBS34_PROFILE),0.000685,-0.000556,0.000064
SBS-MS (SBS36_PROFILE),0.001966,0.002915,0.002440
SBS-MS (SBS37_PROFILE),-0.017504,-0.011921,-0.014712
SBS-MS (SBS39_PROFILE),0.000662,0.005219,0.002940
SBS-MS (SBS3_PROFILE),-0.008485,-0.006417,-0.007451
SBS-MS (SBS40a_PROFILE),-0.005869,0.002176,-0.001847
SBS-MS (SBS40b_PROFILE),-0.008256,-0.001006,-0.004631
SBS-MS (SBS40c_PROFILE),0.000364,-0.016968,-0.008302
SBS-MS (SBS41_PROFILE),-0.005324,-0.000538,-0.002931
SBS-MS (SBS42_PROFILE),-0.007439,0.002213,-0.002613
SBS-MS (SBS84_PROFILE),-0.010158,0.002829,-0.003665
SBS-MS (SBS85_PROFILE),-0.000874,0.005004,0.002065
SBS-MS (SBS88_PROFILE),-0.002514,0.006324,0.001905
SBS-MS (SBS89_PROFILE),0.002984,-0.094208,-0.045612
SBS-MS (SBS8_PROFILE),0.001659,-0.068496,-0.033419
SBS-MS (SBS90_PROFILE),-0.000751,0.006431,0.002840
SBS-MS (SBS91_PROFILE),-0.006696,0.003460,-0.001618
SBS-MS (SBS93_PROFILE),-0.025196,-0.013416,-0.019306
SBS-MS (SBS94_PROFILE),0.000902,0.007492,0.004197
SBS-MS (SBS96_PROFILE),-0.013136,0.007399,-0.002868
SBS-MS (SBS97_PROFILE),-0.008881,-0.029133,-0.019007
SBS-MS (SBS98_PROFILE),-0.008102,-0.058753,-0.033427
SBS-MS (SBS99_PROFILE),-0.008453,0.006030,-0.001212
SBS-MS (SBS9_PROFILE),-0.011869,0.004124,-0.003872
Tobacco (SBS100_PROFILE),-0.005479,0.006476,0.000498
Tobacco (SBS109_PROFILE),0.001789,-0.018491,-0.008351
Tobacco (SBS29_PROFILE),0.001340,-0.033884,-0.016272
Tobacco (SBS4_PROFILE),0.002512,-0.062153,-0.029820
Tobacco (SBS92_PROFILE),-0.011945,-0.014132,-0.013039
Tobacco (v3.3_DBS2_PROFILE),0.004827,-0.012021,-0.003597
Tobacco (v3.3_ID3_PROFILE),-0.238429,-0.086162,-0.162296
UV (SBS38_PROFILE),0.000489,0.005329,0.002909
UV (SBS7a_PROFILE),-0.009956,0.000779,-0.004588
UV (SBS7b_PROFILE),-0.019393,-0.067769,-0.043581
UV (SBS7c_PROFILE),-0.011011,-0.026488,-0.018750
UV (SBS7d_PROFILE),-0.020357,-0.046094,-0.033226
UV (v3.3_DBS1_PROFILE),-0.006479,-0.094208,-0.050343
UV (v3.3_ID13_PROFILE),-0.142645,-0.044990,-0.093817
~~NULL (uniform random),0.000090,0.002207,0.001148
