query \ target,PAIR1-PDK_P1,PAIR1-PDK_P2,PAIR2-Ras_P1,PAIR2-Ras_P2,PAIR3-p53_P1,PAIR3-p53_P2,PAIR4-ABC_P1,PAIR4-ABC_P2,PAIR5-HR_P1,PAIR5-HR_P2
PAIR1-PDK_P1,799.8,148.0,,,,1.8,,,,-4.6
PAIR1-PDK_P2,156.8,861.1,-2.0,-1.3,,-1.2,-4.1,,-2.2,
PAIR2-Ras_P1,-3.0,-2.6,482.1,64.2,,,1.7,-2.1,-2.7,-3.1
PAIR2-Ras_P2,-2.6,-2.0,65.9,486.7,-2.6,-1.2,0.4,-2.2,-3.4,-3.5
PAIR3-p53_P1,,,,,1198.5,186.5,,,,
PAIR3-p53_P2,0.9,-2.7,,-2.3,185.8,455.0,-4.5,-4.2,-3.9,-3.9
PAIR4-ABC_P1,,-3.0,2.7,-0.4,,,1436.9,302.1,,-3.1
PAIR4-ABC_P2,,-3.3,0.3,-1.1,,-2.1,301.6,1838.3,-3.0,
PAIR5-HR_P1,-2.5,-0.7,-1.3,-2.1,,-2.0,,-3.5,1618.2,25.6
PAIR5-HR_P2,-2.1,,-1.3,,,-1.7,-2.3,,27.2,2473.8
